Name,API_Name,Memory_GB,vCPUs,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs,GPUs,GPU_Model,GPU_Memory_GB,Physical_Processor,Clock_Speed_GHz,Instance_Storage,Network_Performance,EBS_Optimized_Max_Bandwidth_Mbps,EBS_Optimized_Max_Throughput_128K_Mbps,EBS_As_NVMe,Enhanced_Networking,Linux_Reserved_Cost_Hourly,EBS_Optimized_Surcharge_Hourly
C3 High-CPU Double Extra Large,c3.2xlarge,15.0,8,0.42,0.42,1,0,None,0,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,160 GiB (2 * 80 GiB SSD),High,1000,125,FALSE,TRUE,0.292,0
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30.0,16,0.84,0.84,2,0,None,0,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,320 GiB (2 * 160 GiB SSD),High,2000,250,FALSE,TRUE,0.584,0
C3 High-CPU Eight Extra Large,c3.8xlarge,60.0,32,1.68,1.68,4,0,None,0,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,640 GiB (2 * 320 GiB SSD),10 Gigabit,0,0,FALSE,TRUE,1.168,0
C4 High-CPU Double Extra Large,c4.2xlarge,15.0,8,0.398,0.398,1,0,None,0,Intel Xeon E5-2666 v3 (Haswell),2.9,EBS only,High,1000,125,FALSE,TRUE,0.252,0
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30.0,16,0.796,0.796,2,0,None,0,Intel Xeon E5-2666 v3 (Haswell),2.9,EBS only,High,2000,250,FALSE,TRUE,0.504,0
C4 High-CPU Eight Extra Large,c4.8xlarge,60.0,36,1.591,1.591,4,0,None,0,Intel Xeon E5-2666 v3 (Haswell),2.9,EBS only,10 Gigabit,4000,500,FALSE,TRUE,1.008,0
C5 High-CPU 12xlarge,c5.12xlarge,96.0,48,2.04,2.04,7.28,0,None,0,Intel Xeon Platinum 8275L,3,EBS only,12 Gigabit,7000,875,TRUE,TRUE,1.285,0
C5 High-CPU 18xlarge,c5.18xlarge,144.0,72,3.06,3.06,10.92,0,None,0,Intel Xeon Platinum 8124M,3,EBS only,25 Gigabit,14000,1750,TRUE,TRUE,1.928,0
C5 High-CPU 24xlarge,c5.24xlarge,192.0,96,4.08,4.08,14.56,0,None,0,Intel Xeon Platinum 8275L,3,EBS only,25 Gigabit,14000,1750,TRUE,TRUE,2.57,0
C5 High-CPU Double Extra Large,c5.2xlarge,16.0,8,0.34,0.34,1.21,0,None,0,Intel Xeon Platinum 8124M,3,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.214,0
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32.0,16,0.68,0.68,2.43,0,None,0,Intel Xeon Platinum 8124M,3,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.428,0
C5 High-CPU 9xlarge,c5.9xlarge,72.0,36,1.53,1.53,5.46,0,None,0,Intel Xeon Platinum 8124M,3,EBS only,10 Gigabit,7000,875,TRUE,TRUE,0.964,0
C5 High-CPU Extra Large,c5.xlarge,8.0,4,0.17,0.17,0.61,0,None,0,Intel Xeon Platinum 8124M,3,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.107,0
C5 High-CPU 12xlarge,c5d.12xlarge,96.0,48,2.304,2.304,7.31,0,None,0,Intel Xeon Platinum 8275L,3,1800 GiB (2 * 900 GiB NVMe SSD),12 Gigabit,7000,875,TRUE,TRUE,1.453,0
C5 High-CPU 18xlarge,c5d.18xlarge,144.0,72,3.456,3.456,10.96,0,None,0,Intel Xeon Platinum 8124M,3,1800 GiB (2 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,TRUE,2.18,0
C5 High-CPU 24xlarge,c5d.24xlarge,192.0,96,4.608,4.608,14.61,0,None,0,Intel Xeon Platinum 8275L,3,3600 GiB (4 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,TRUE,2.906,0
C5 High-CPU Double Extra Large,c5d.2xlarge,16.0,8,0.384,0.384,1.37,0,None,0,Intel Xeon Platinum 8124M,3,200 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.242,0
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32.0,16,0.768,0.768,2.74,0,None,0,Intel Xeon Platinum 8124M,3,400 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.484,0
C5 High-CPU 9xlarge,c5d.9xlarge,72.0,36,1.728,1.728,5.48,0,None,0,Intel Xeon Platinum 8124M,3,900 GiB NVMe SSD,10 Gigabit,7000,875,TRUE,TRUE,1.09,0
C5 High-CPU Extra Large,c5d.xlarge,8.0,4,0.192,0.192,0.69,0,None,0,Intel Xeon Platinum 8124M,3,100 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.121,0
G4DN 12xlarge,g4dn.12xlarge,192.0,48,3.912,3.912,8.56,4,NVIDIA T4 Tensor Core,64,Intel Xeon Family,0,900 GiB NVMe SSD,50 Gigabit,7000,875,TRUE,FALSE,2.465,0
G4DN 16xlarge,g4dn.16xlarge,256.0,64,4.352,4.352,11.41,1,NVIDIA T4 Tensor Core,16,Intel Xeon Family,0,900 GiB NVMe SSD,50 Gigabit,7000,875,TRUE,FALSE,2.742,0
G4DN Double Extra Large,g4dn.2xlarge,32.0,8,0.752,0.752,1.43,1,NVIDIA T4 Tensor Core,16,Intel Xeon Family,0,225 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,FALSE,0.474,0
G4DN Quadruple Extra Large,g4dn.4xlarge,64.0,16,1.204,1.204,2.85,1,NVIDIA T4 Tensor Core,16,Intel Xeon Family,0,225 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,FALSE,0.759,0
G4DN Eight Extra Large,g4dn.8xlarge,128.0,32,2.176,2.176,5.7,1,NVIDIA T4 Tensor Core,16,Intel Xeon Family,0,900 GiB NVMe SSD,50 Gigabit,7000,875,TRUE,FALSE,1.371,0
G4DN Extra Large,g4dn.xlarge,16.0,4,0.526,0.526,0.71,1,NVIDIA T4 Tensor Core,16,Intel Xeon Family,0,125 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,FALSE,0.331,0
I2 Double Extra Large,i2.2xlarge,61.0,8,1.705,1.705,3,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,1600 GiB (2 * 800 GiB SSD),High,1000,125,FALSE,TRUE,0.848,0.05
I2 Quadruple Extra Large,i2.4xlarge,122.0,16,3.41,3.41,6,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,3200 GiB (4 * 800 GiB SSD),High,2000,250,FALSE,TRUE,1.696,0.1
I2 Eight Extra Large,i2.8xlarge,244.0,32,6.82,6.82,12,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,6400 GiB (8 * 800 GiB SSD),10 Gigabit,0,0,FALSE,TRUE,3.392,0
I2 Extra Large,i2.xlarge,30.5,4,0.853,0.853,1.5,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,800 GiB SSD,Moderate,500,62.5,FALSE,TRUE,0.424,0.02
I3 High I/O 16xlarge,i3.16xlarge,488.0,64,4.992,4.992,16,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,15200 GiB (8 * 1900 GiB NVMe SSD),20 Gigabit,14000,1750,FALSE,TRUE,3.427,0
I3 High I/O Double Extra Large,i3.2xlarge,61.0,8,0.624,0.624,2,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,1900 GiB NVMe SSD,Up to 10 Gigabit,1700,212.5,FALSE,TRUE,0.428,0
I3 High I/O Quadruple Extra Large,i3.4xlarge,122.0,16,1.248,1.248,4,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,3800 GiB (2 * 1900 GiB NVMe SSD),Up to 10 Gigabit,3500,437.5,FALSE,TRUE,0.857,0
I3 High I/O Eight Extra Large,i3.8xlarge,244.0,32,2.496,2.496,8,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,7600 GiB (4 * 1900 GiB NVMe SSD),10 Gigabit,7000,875,FALSE,TRUE,1.714,0
I3 High I/O Large,i3.large,15.3,2,0.156,0.156,0.75,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,475 GiB NVMe SSD,Up to 10 Gigabit,425,53.13,FALSE,TRUE,0.107,0
I3 High I/O Extra Large,i3.xlarge,30.5,4,0.312,0.312,1,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,950 GiB NVMe SSD,Up to 10 Gigabit,850,106.25,FALSE,TRUE,0.214,0
I3EN 12xlarge,i3en.12xlarge,384.0,48,5.424,5.424,17.4,0,None,0,Intel Xeon Platinum 8175,3.1,30000 GiB (4 * 7500 GiB NVMe SSD),50 Gigabit,7000,875,TRUE,TRUE,3.694,0
I3EN 24xlarge,i3en.24xlarge,768.0,96,10.848,10.848,34.8,0,None,0,Intel Xeon Platinum 8175,3.1,60000 GiB (8 * 7500 GiB NVMe SSD),100 Gigabit,14000,1750,TRUE,TRUE,7.388,0
I3EN Double Extra Large,i3en.2xlarge,64.0,8,0.904,0.904,2.9,0,None,0,Intel Xeon Platinum 8175,3.1,5000 GiB (2 * 2500 GiB NVMe SSD),Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.616,0
I3EN 3xlarge,i3en.3xlarge,96.0,12,1.356,1.356,4.35,0,None,0,Intel Xeon Platinum 8175,3.1,7500 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.924,0
I3EN 6xlarge,i3en.6xlarge,192.0,24,2.712,2.712,8.7,0,None,0,Intel Xeon Platinum 8175,3.1,15000 GiB (2 * 7500 GiB NVMe SSD),25 Gigabit,3500,437.5,TRUE,TRUE,1.847,0
I3EN Large,i3en.large,16.0,2,0.226,0.226,0.75,0,None,0,Intel Xeon Platinum 8175,3.1,1250 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.154,0
I3EN Extra Large,i3en.xlarge,32.0,4,0.452,0.452,1.45,0,None,0,Intel Xeon Platinum 8175,3.1,2500 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.308,0
M4 General Purpose Deca Extra Large,m4.10xlarge,160.0,40,2,2,8,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,10 Gigabit,4000,500,FALSE,TRUE,1.239,0
M4 General Purpose 16xlarge,m4.16xlarge,256.0,64,3.2,3.2,12,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,10000,1250,FALSE,TRUE,1.9824,0
M4 General Purpose Double Extra Large,m4.2xlarge,32.0,8,0.4,0.4,1.5,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,1000,125,FALSE,TRUE,0.2478,0
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64.0,16,0.8,0.8,3,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,2000,250,FALSE,TRUE,0.4956,0
M4 General Purpose Large,m4.large,8.0,2,0.1,0.1,0.4,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,Moderate,450,56.25,FALSE,TRUE,0.062,0
M4 General Purpose Extra Large,m4.xlarge,16.0,4,0.2,0.2,0.75,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,750,93.75,FALSE,TRUE,0.1239,0
M5 General Purpose 12xlarge,m5.12xlarge,192.0,48,2.304,2.304,8.23,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,10 Gigabit,7000,875,TRUE,TRUE,1.452,0
M5 General Purpose 16xlarge,m5.16xlarge,256.0,64,3.072,3.072,10.96,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,20 Gigabit,10000,1250,TRUE,TRUE,1.935,0
M5 General Purpose 24xlarge,m5.24xlarge,384.0,96,4.608,4.608,16.46,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,25 Gigabit,14000,1750,TRUE,TRUE,2.903,0
M5 General Purpose Double Extra Large,m5.2xlarge,32.0,8,0.384,0.384,1.37,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.245,0
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64.0,16,0.768,0.768,2.74,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.484,0
M5 General Purpose Eight Extra Large,m5.8xlarge,128.0,32,1.536,1.536,5.48,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,0.968,0
M5 General Purpose Large,m5.large,8.0,2,0.096,0.096,0.35,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.061,0
M5 General Purpose Extra Large,m5.xlarge,16.0,4,0.192,0.192,0.69,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.123,0
M5A 12xlarge,m5a.12xlarge,192.0,48,2.064,2.064,7.37,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,1.313,0
M5A 16xlarge,m5a.16xlarge,256.0,64,2.752,2.752,9.83,0,None,0,AMD EPYC 7571,2.5,EBS only,12 Gigabit,7000,875,TRUE,TRUE,1.734,0
M5A Double Extra Large,m5a.2xlarge,32.0,8,0.344,0.344,1.23,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.219,0
M5A Quadruple Extra Large,m5a.4xlarge,64.0,16,0.688,0.688,2.46,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.438,0
M5A Eight Extra Large,m5a.8xlarge,128.0,32,1.376,1.376,4.91,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.876,0
M5A Large,m5a.large,8.0,2,0.086,0.086,0.31,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.055,0
M5A Extra Large,m5a.xlarge,16.0,4,0.172,0.172,0.61,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.109,0
M5 General Purpose 12xlarge,m5d.12xlarge,192.0,48,2.712,2.712,8.23,0,None,0,Intel Xeon Platinum 8175,2.5,1800 GiB (2 * 900 GiB NVMe SSD),10 Gigabit,7000,875,TRUE,TRUE,1.709,0
M5 General Purpose 16xlarge,m5d.16xlarge,256.0,64,3.616,3.616,10.96,0,None,0,Intel Xeon Platinum 8175,2.5,2400 GiB (4 * 600 GiB NVMe SSD),20 Gigabit,10000,1250,TRUE,TRUE,2.278,0
M5 General Purpose 24xlarge,m5d.24xlarge,384.0,96,5.424,5.424,16.46,0,None,0,Intel Xeon Platinum 8175,2.5,3600 GiB (4 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,TRUE,3.417,0
M5 General Purpose Double Extra Large,m5d.2xlarge,32.0,8,0.452,0.452,1.37,0,None,0,Intel Xeon Platinum 8175,2.5,300 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.288,0
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64.0,16,0.904,0.904,2.74,0,None,0,Intel Xeon Platinum 8175,2.5,600 GiB (2 * 300 GiB NVMe SSD),Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.576,0
M5 General Purpose Eight Extra Large,m5d.8xlarge,128.0,32,1.808,1.808,5.48,0,None,0,Intel Xeon Platinum 8175,2.5,1200 GiB (2 * 600 GiB NVMe SSD),10 Gigabit,5000,625,TRUE,TRUE,1.139,0
M5 General Purpose Large,m5d.large,8.0,2,0.113,0.113,0.34,0,None,0,Intel Xeon Platinum 8175,2.5,75 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.072,0
M5 General Purpose Extra Large,m5d.xlarge,16.0,4,0.226,0.226,0.69,0,None,0,Intel Xeon Platinum 8175,2.5,150 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.144,0
General Purpose GPU 16xlarge,p2.16xlarge,732.0,64,14.4,14.4,19.52,16,NVIDIA Tesla K80,192,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,10000,1250,FALSE,TRUE,9.828,0
General Purpose GPU Eight Extra Large,p2.8xlarge,488.0,32,7.2,7.2,9.76,8,NVIDIA Tesla K80,96,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,5000,625,FALSE,TRUE,4.914,0
General Purpose GPU Extra Large,p2.xlarge,61.0,4,0.9,0.9,1.22,1,NVIDIA Tesla K80,12,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,High,750,93.75,FALSE,TRUE,0.614,0
P3 16xlarge,p3.16xlarge,488.0,64,24.48,24.48,33.2,8,NVIDIA Tesla V100,128,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,25 Gigabit,14000,1750,FALSE,TRUE,16.708,0
P3 Double Extra Large,p3.2xlarge,61.0,8,3.06,3.06,4.15,1,NVIDIA Tesla V100,16,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,1750,218,FALSE,TRUE,2.088,0
P3 Eight Extra Large,p3.8xlarge,244.0,32,12.24,12.24,16.6,4,NVIDIA Tesla V100,64,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,7000,875,FALSE,TRUE,8.354,0
R3 High-Memory Double Extra Large,r3.2xlarge,61.0,8,0.665,0.665,2,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,160 GiB SSD,High,1000,125,FALSE,TRUE,0.418,0
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122.0,16,1.33,1.33,4,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,320 GiB SSD,High,2000,250,FALSE,TRUE,0.836,0
R3 High-Memory Eight Extra Large,r3.8xlarge,244.0,32,2.66,2.66,8,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,640 GiB (2 * 320 GiB SSD),10 Gigabit,0,0,FALSE,TRUE,1.672,0
R3 High-Memory Extra Large,r3.xlarge,30.5,4,0.333,0.333,1,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,80 GiB SSD,Moderate,500,62.5,FALSE,TRUE,0.209,0
R4 High-Memory 16xlarge,r4.16xlarge,488.0,64,4.256,4.256,16,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,14000,1750,FALSE,TRUE,2.688,0
R4 High-Memory Double Extra Large,r4.2xlarge,61.0,8,0.532,0.532,2,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,1700,212.5,FALSE,TRUE,0.336,0
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122.0,16,1.064,1.064,4,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,3500,437.5,FALSE,TRUE,0.672,0
R4 High-Memory Eight Extra Large,r4.8xlarge,244.0,32,2.128,2.128,8,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,7000,875,FALSE,TRUE,1.344,0
