instance,API_name,vCPUs,Memory_GB,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs
a2-highgpu-16g,a2-highgpu-16g,96,1360.0,35.112,35.112,63.84
a2-highgpu-1g,a2-highgpu-1g,12,85.0,2.9865,2.9865,5.43
a2-highgpu-2g,a2-highgpu-2g,24,170.0,5.973,5.973,10.86
a2-highgpu-4g,a2-highgpu-4g,48,340.0,11.946,11.946,21.72
a2-highgpu-8g,a2-highgpu-8g,96,680.0,23.892,23.892,43.44
c2-standard-16,c2-standard-16,16,64.0,1.584,1.584,2.88
c2-standard-30,c2-standard-30,30,120.0,2.97,2.97,5.4
c2-standard-4,c2-standard-4,4,16.0,0.396,0.396,0.72
c2-standard-60,c2-standard-60,60,240.0,5.94,5.94,10.8
c2-standard-8,c2-standard-8,8,32.0,0.792,0.792,1.44
e2_highcpu_16,e2_highcpu_16,16,16.0,1.188,1.188,2.16
e2_highmem_16,e2_highmem_16,16,128.0,2.112,2.112,3.84
e2_highmem_2,e2_highmem_2,2,16.0,0.264,0.264,0.48
e2_highmem_4,e2_highmem_4,4,32.0,0.528,0.528,0.96
e2_highmem_8,e2_highmem_8,8,64.0,1.056,1.056,1.92
e2_standard_16,e2_standard_16,16,64.0,1.584,1.584,2.88
e2_standard_32,e2_standard_32,32,128.0,3.168,3.168,5.76
e2_standard_4,e2_standard_4,4,16.0,0.396,0.396,0.72
e2_standard_8,e2_standard_8,8,32.0,0.792,0.792,1.44
n1-highcpu-16,n1-highcpu-16,16,14.0,1.177,1.177,2.14
n1-highcpu-32,n1-highcpu-32,32,29.0,2.3485,2.3485,4.27
n1-highcpu-64,n1-highcpu-64,64,58.0,4.697,4.697,8.54
n1-highcpu-96,n1-highcpu-96,96,86.0,7.051,7.051,12.82
n1-highmem-16,n1-highmem-16,16,104.0,1.914,1.914,3.48
n1-highmem-32,n1-highmem-32,32,208.0,3.828,3.828,6.96
n1-highmem-4,n1-highmem-4,4,26.0,0.4785,0.4785,0.87
n1-highmem-64,n1-highmem-64,64,416.0,7.656,7.656,13.92
n1-highmem-8,n1-highmem-8,8,52.0,0.957,0.957,1.74
n1-highmem-96,n1-highmem-96,96,624.0,11.484,11.484,20.88
n1-standard-16,n1-standard-16,16,60.0,1.551,1.551,2.82
n1-standard-32,n1-standard-32,32,120.0,3.102,3.102,5.64
n1-standard-4,n1-standard-4,4,15.0,0.3905,0.3905,0.71
n1-standard-64,n1-standard-64,64,240.0,6.204,6.204,11.28
n1-standard-8,n1-standard-8,8,30.0,0.7755,0.7755,1.41
n1-standard-96,n1-standard-96,96,360.0,9.306,9.306,16.92
n2-highcpu-16,n2-highcpu-16,16,16.0,1.188,1.188,2.16
n2-highcpu-32,n2-highcpu-32,32,32.0,2.376,2.376,4.32
n2-highcpu-48,n2-highcpu-48,48,48.0,3.564,3.564,6.48
n2-highcpu-64,n2-highcpu-64,64,64.0,4.752,4.752,8.64
n2-highcpu-80,n2-highcpu-80,80,80.0,5.94,5.94,10.8
n2-highmem-16,n2-highmem-16,16,128.0,2.112,2.112,3.84
n2-highmem-2,n2-highmem-2,2,16.0,0.264,0.264,0.48
n2-highmem-32,n2-highmem-32,32,256.0,4.224,4.224,7.68
n2-highmem-4,n2-highmem-4,4,32.0,0.528,0.528,0.96
n2-highmem-48,n2-highmem-48,48,384.0,6.336,6.336,11.52
n2-highmem-64,n2-highmem-64,64,512.0,8.448,8.448,15.36
n2-highmem-8,n2-highmem-8,8,64.0,1.056,1.056,1.92
n2-highmem-80,n2-highmem-80,80,640.0,10.56,10.56,19.2
n2-standard-16,n2-standard-16,16,64.0,1.584,1.584,2.88
n2-standard-32,n2-standard-32,32,128.0,3.168,3.168,5.76
n2-standard-4,n2-standard-4,4,16.0,0.396,0.396,0.72
n2-standard-48,n2-standard-48,48,192.0,4.752,4.752,8.64
n2-standard-64,n2-standard-64,64,256.0,6.336,6.336,11.52
n2-standard-8,n2-standard-8,8,32.0,0.792,0.792,1.44
n2-standard-80,n2-standard-80,80,320.0,7.92,7.92,14.4
n2d-highcpu-128,n2d-highcpu-128,128,128.0,9.504,9.504,17.28
n2d-highcpu-16,n2d-highcpu-16,16,16.0,1.188,1.188,2.16
n2d-highcpu-224,n2d-highcpu-224,224,224.0,16.632,16.632,30.24
n2d-highcpu-32,n2d-highcpu-32,32,32.0,2.376,2.376,4.32
n2d-highcpu-48,n2d-highcpu-48,48,48.0,3.564,3.564,6.48
n2d-highcpu-64,n2d-highcpu-64,64,64.0,4.752,4.752,8.64
n2d-highcpu-80,n2d-highcpu-80,80,80.0,5.94,5.94,10.8
n2d-highcpu-96,n2d-highcpu-96,96,96.0,7.128,7.128,12.96
n2d-highmem-16,n2d-highmem-16,16,128.0,2.112,2.112,3.84
n2d-highmem-2,n2d-highmem-2,2,16.0,0.264,0.264,0.48
n2d-highmem-32,n2d-highmem-32,32,256.0,4.224,4.224,7.68
n2d-highmem-4,n2d-highmem-4,4,32.0,0.528,0.528,0.96
n2d-highmem-48,n2d-highmem-48,48,384.0,6.336,6.336,11.52
n2d-highmem-64,n2d-highmem-64,64,512.0,8.426,8.426,15.32
n2d-highmem-8,n2d-highmem-8,8,64.0,1.056,1.056,1.92
n2d-highmem-80,n2d-highmem-80,80,640.0,10.56,10.56,19.2
n2d-highmem-96,n2d-highmem-96,96,768.0,12.672,12.672,23.04
n2d-standard-128,n2d-standard-128,128,512.0,12.672,12.672,23.04
n2d-standard-16,n2d-standard-16,16,64.0,1.584,1.584,2.88
n2d-standard-224,n2d-standard-224,224,896.0,22.176,22.176,40.32
n2d-standard-32,n2d-standard-32,32,128.0,3.168,3.168,5.76
n2d-standard-4,n2d-standard-4,4,16.0,0.396,0.396,0.72
n2d-standard-48,n2d-standard-48,48,192.0,4.752,4.752,8.64
n2d-standard-64,n2d-standard-64,64,256.0,6.336,6.336,11.52
n2d-standard-8,n2d-standard-8,8,32.0,0.792,0.792,1.44
n2d-standard-80,n2d-standard-80,80,320.0,7.92,7.92,14.4
n2d-standard-96,n2d-standard-96,96,384.0,9.504,9.504,17.28